Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,255,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:05.731130 PM",-80.000 dBm (weak),
,256,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.239441",="29-Sep-17 3:54:06.970571 PM",-81.000 dBm (weak),
,257,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:06.971268 PM",-80.000 dBm (weak),
,258,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.252794",="29-Sep-17 3:54:08.224062 PM",-81.000 dBm (weak),
,259,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.254227",="29-Sep-17 3:54:09.478289 PM",-81.000 dBm (weak),
,260,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:09.478986 PM",-81.000 dBm (weak),
,261,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.225338",="29-Sep-17 3:54:10.704324 PM",-81.000 dBm (weak),
,262,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:10.705021 PM",-80.000 dBm (weak),
,263,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.001199",="29-Sep-17 3:54:10.706220 PM",-35.000 dBm (strong),
,264,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.244362",="29-Sep-17 3:54:11.950582 PM",-83.000 dBm (weak),
,265,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:11.951279 PM",-78.000 dBm (weak),
,266,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.500516",="29-Sep-17 3:54:14.451795 PM",-81.000 dBm (weak),
,267,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:14.452493 PM",-79.000 dBm (weak),
,268,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.233975",="29-Sep-17 3:54:15.686467 PM",-80.000 dBm (weak),
,269,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.494029",="29-Sep-17 3:54:18.180496 PM",-81.000 dBm (weak),
,270,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:18.181193 PM",-80.000 dBm (weak),
,271,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.264106",="29-Sep-17 3:54:19.445299 PM",-82.000 dBm (weak),
,272,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:19.445996 PM",-80.000 dBm (weak),
,273,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.234124",="29-Sep-17 3:54:20.680119 PM",-82.000 dBm (weak),
,274,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:20.680816 PM",-80.000 dBm (weak),
,275,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.240562",="29-Sep-17 3:54:21.921378 PM",-80.000 dBm (weak),
,276,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:21.922075 PM",-80.000 dBm (weak),
,277,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.483999",="29-Sep-17 3:54:24.406074 PM",-81.000 dBm (weak),
,278,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:24.406771 PM",-80.000 dBm (weak),
,279,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.244679",="29-Sep-17 3:54:25.651451 PM",-81.000 dBm (weak),
,280,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:25.652148 PM",-81.000 dBm (weak),
,281,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.242078",="29-Sep-17 3:54:26.894225 PM",-81.000 dBm (weak),
