Chan,Timestamp,RSSI
37,13-Nov-17 5:09:18.326019 PM,-44
37,13-Nov-17 5:09:18.326345 PM,-37
38,13-Nov-17 5:09:18.326616 PM,-35
39,13-Nov-17 5:09:18.327313 PM,-43
37,13-Nov-17 5:09:19.566644 PM,-36
38,13-Nov-17 5:09:19.567609 PM,-35
38,13-Nov-17 5:09:19.568111 PM,-38
38,13-Nov-17 5:09:19.568437 PM,-35
39,13-Nov-17 5:09:19.568707 PM,-43
37,13-Nov-17 5:09:20.811673 PM,-37
38,13-Nov-17 5:09:20.812370 PM,-35
38,13-Nov-17 5:09:20.812873 PM,-38
38,13-Nov-17 5:09:20.813198 PM,-35
39,13-Nov-17 5:09:20.813469 PM,-42
37,13-Nov-17 5:09:22.058752 PM,-37
38,13-Nov-17 5:09:22.059449 PM,-35
39,13-Nov-17 5:09:22.060146 PM,-42
37,13-Nov-17 5:09:23.307030 PM,-37
37,13-Nov-17 5:09:23.307533 PM,-44
37,13-Nov-17 5:09:23.307858 PM,-37
38,13-Nov-17 5:09:23.308129 PM,-35
39,13-Nov-17 5:09:23.308826 PM,-43
37,13-Nov-17 5:09:24.553759 PM,-37
38,13-Nov-17 5:09:24.554456 PM,-35
38,13-Nov-17 5:09:24.554958 PM,-39
38,13-Nov-17 5:09:24.555284 PM,-35
39,13-Nov-17 5:09:24.555555 PM,-43
37,13-Nov-17 5:09:25.800764 PM,-37
38,13-Nov-17 5:09:25.801462 PM,-35
38,13-Nov-17 5:09:25.801964 PM,-38
38,13-Nov-17 5:09:25.802290 PM,-35
39,13-Nov-17 5:09:25.802560 PM,-43
37,13-Nov-17 5:09:27.039716 PM,-37
38,13-Nov-17 5:09:27.040413 PM,-35
38,13-Nov-17 5:09:27.040916 PM,-38
38,13-Nov-17 5:09:27.041241 PM,-36
39,13-Nov-17 5:09:27.041512 PM,-43
37,13-Nov-17 5:09:28.291945 PM,-37
38,13-Nov-17 5:09:28.292642 PM,-35
38,13-Nov-17 5:09:28.293144 PM,-39
38,13-Nov-17 5:09:28.293470 PM,-36
39,13-Nov-17 5:09:28.293741 PM,-43
37,13-Nov-17 5:09:29.540023 PM,-37
37,13-Nov-17 5:09:29.540525 PM,-44
37,13-Nov-17 5:09:29.540851 PM,-37
38,13-Nov-17 5:09:29.541122 PM,-35
39,13-Nov-17 5:09:29.541819 PM,-42
37,13-Nov-17 5:09:30.782652 PM,-37
37,13-Nov-17 5:09:30.783154 PM,-44
37,13-Nov-17 5:09:30.783480 PM,-37
38,13-Nov-17 5:09:30.783751 PM,-35
39,13-Nov-17 5:09:30.784448 PM,-43
37,13-Nov-17 5:09:32.038530 PM,-37
37,13-Nov-17 5:09:32.039032 PM,-44
37,13-Nov-17 5:09:32.039358 PM,-37
38,13-Nov-17 5:09:32.039630 PM,-35
39,13-Nov-17 5:09:32.040326 PM,-42
37,13-Nov-17 5:09:33.287509 PM,-37
37,13-Nov-17 5:09:33.288012 PM,-42
37,13-Nov-17 5:09:33.288337 PM,-37
38,13-Nov-17 5:09:33.288608 PM,-35
39,13-Nov-17 5:09:33.289305 PM,-43
37,13-Nov-17 5:09:34.530137 PM,-37
38,13-Nov-17 5:09:34.530835 PM,-35
38,13-Nov-17 5:09:34.531337 PM,-38
38,13-Nov-17 5:09:34.531663 PM,-35
39,13-Nov-17 5:09:34.531933 PM,-43
37,13-Nov-17 5:09:35.777275 PM,-36
38,13-Nov-17 5:09:35.777972 PM,-35
39,13-Nov-17 5:09:35.778669 PM,-42
37,13-Nov-17 5:09:37.017204 PM,-37
37,13-Nov-17 5:09:37.017706 PM,-44
37,13-Nov-17 5:09:37.018033 PM,-37
38,13-Nov-17 5:09:37.018304 PM,-35
39,13-Nov-17 5:09:37.019001 PM,-43
37,13-Nov-17 5:09:38.258932 PM,-37
37,13-Nov-17 5:09:38.259435 PM,-44
37,13-Nov-17 5:09:38.259760 PM,-37
38,13-Nov-17 5:09:38.260031 PM,-35
39,13-Nov-17 5:09:38.260728 PM,-42
37,13-Nov-17 5:09:39.510061 PM,-37
38,13-Nov-17 5:09:39.510758 PM,-35
38,13-Nov-17 5:09:39.511260 PM,-38
38,13-Nov-17 5:09:39.511586 PM,-35
39,13-Nov-17 5:09:39.511857 PM,-42
37,13-Nov-17 5:09:40.755639 PM,-37
38,13-Nov-17 5:09:40.756337 PM,-35
38,13-Nov-17 5:09:40.756838 PM,-38
38,13-Nov-17 5:09:40.757165 PM,-36
39,13-Nov-17 5:09:40.757435 PM,-43
39,13-Nov-17 5:09:40.757939 PM,-87
39,13-Nov-17 5:09:40.758264 PM,-42
37,13-Nov-17 5:09:41.991818 PM,-36
38,13-Nov-17 5:09:41.992515 PM,-35
38,13-Nov-17 5:09:41.993018 PM,-38
38,13-Nov-17 5:09:41.993343 PM,-35
39,13-Nov-17 5:09:41.993614 PM,-42
37,13-Nov-17 5:09:43.251996 PM,-36
37,13-Nov-17 5:09:43.252499 PM,-45
37,13-Nov-17 5:09:43.252825 PM,-37
38,13-Nov-17 5:09:43.253097 PM,-35
39,13-Nov-17 5:09:43.253793 PM,-42
37,13-Nov-17 5:09:44.501025 PM,-37
38,13-Nov-17 5:09:44.501722 PM,-35
38,13-Nov-17 5:09:44.502225 PM,-38
38,13-Nov-17 5:09:44.502550 PM,-35
39,13-Nov-17 5:09:44.502821 PM,-43
37,13-Nov-17 5:09:45.737883 PM,-36
38,13-Nov-17 5:09:45.738580 PM,-35
38,13-Nov-17 5:09:45.739082 PM,-38
38,13-Nov-17 5:09:45.739408 PM,-35
39,13-Nov-17 5:09:45.739679 PM,-42
37,13-Nov-17 5:09:46.984832 PM,-37
38,13-Nov-17 5:09:46.985529 PM,-35
38,13-Nov-17 5:09:46.986031 PM,-39
38,13-Nov-17 5:09:46.986357 PM,-35
39,13-Nov-17 5:09:46.986628 PM,-42
37,13-Nov-17 5:09:48.231811 PM,-37
38,13-Nov-17 5:09:48.232508 PM,-35
38,13-Nov-17 5:09:48.233011 PM,-38
38,13-Nov-17 5:09:48.233336 PM,-36
39,13-Nov-17 5:09:48.233607 PM,-43
37,13-Nov-17 5:09:49.477189 PM,-37
38,13-Nov-17 5:09:49.477887 PM,-36
39,13-Nov-17 5:09:49.478583 PM,-43
39,13-Nov-17 5:09:49.479086 PM,-40
39,13-Nov-17 5:09:49.479411 PM,-42
37,13-Nov-17 5:09:50.720318 PM,-37
38,13-Nov-17 5:09:50.721015 PM,-36
